Model,Method,mean_precision,mean_recall,stdev_precision,stdev_recall
NN_basic,knn_df,0.4640727104845791,0.35686619718309864,0.023332492366374587,0.03361754169036917
NN_basic,m1_df,0.4444765255742742,0.31795774647887326,0.027003094551578205,0.062291110950692896
NN_basic,PCA_knn_df,0.45746245120432716,0.3427816901408451,0.024969865617936713,0.04766577010553817
NN_basic,PCA_m1_df,0.45062516318759016,0.29683098591549295,0.03302369555506612,0.0442122300439509
NN_basic,Smote_knn_df,0.36698624354624504,0.37200704225352116,0.025376691532336276,0.03928108476497855
NN_basic,Smote_m1_df,0.3442388201133949,0.3647887323943662,0.02459317307427477,0.04915598893083426
NN_basic,ros_knn_df,0.38496706748613646,0.4014084507042254,0.01636975354556509,0.03030010903967029
NN_basic,ros_m1_df,0.37206359526852106,0.4211267605633803,0.03162716193836716,0.05529850825183262
NN_basic,rus_knn_df,0.30025114580614104,0.7294014084507043,0.017959200434804923,0.02920678605930996
NN_basic,rus_m1_df,0.2830785856495835,0.7390845070422534,0.012958719243358134,0.03717082597294828
