Model,Method,mean_precision,mean_recall,stdev_precision,stdev_recall
NN_opt,knn_df,0.57449592298027,0.30513595166163143,0.03680702169484895,0.06064912356460644
NN_opt,m1_df,0.5474420049096796,0.28700906344410876,0.01877672169051523,0.03320515205808842
NN_opt,PCA_knn_df,0.5759963118840676,0.2764350453172205,0.02258317450397693,0.05503550010122732
NN_opt,PCA_m1_df,0.5627953657430173,0.2226586102719033,0.04439757043410182,0.05114670678860292
NN_opt,Smote_knn_df,0.34787732607283706,0.5401812688821752,0.016356799804388162,0.04187969414178477
NN_opt,Smote_m1_df,0.34369517019591134,0.5444108761329305,0.023165680910120393,0.04880440001524754
NN_opt,ros_knn_df,0.34194796411130624,0.7042296072507552,0.01501025911358324,0.02902346962929903
NN_opt,ros_m1_df,0.34058505470910305,0.6861027190332326,0.00887571725771375,0.027272450685401822
NN_opt,rus_knn_df,0.3095141313517672,0.7561933534743203,0.02161701576606589,0.039461559805866187
NN_opt,rus_m1_df,0.30527480902111703,0.7226586102719034,0.021794337076555863,0.04991390073247949
