Model,Method,mean_precision,mean_recall,stdev_precision,stdev_recall
NN_basic,knn_df,0.4701593388061731,0.3458119658119658,0.03050456943882728,0.03614121538876623
NN_basic,m1_df,0.4817194365086322,0.32170940170940165,0.02895973973246636,0.04199565495893483
NN_basic,PCA_knn_df,0.49799045524250163,0.33555555555555555,0.03691729493028775,0.03208989127542838
NN_basic,PCA_m1_df,0.48167227040156674,0.3023931623931625,0.03218942980900347,0.037007263948071065
NN_basic,Smote_knn_df,0.37931948732237347,0.38376068376068384,0.0256579595749921,0.0546540932606775
NN_basic,Smote_m1_df,0.36334906273006873,0.41179487179487184,0.018424920169763465,0.0191032811200258
NN_basic,ros_knn_df,0.38576324944105694,0.42854700854700856,0.027016226258476935,0.04543955018662681
NN_basic,ros_m1_df,0.38573996242120184,0.41162393162393157,0.01668584611310207,0.04552146701703983
NN_basic,rus_knn_df,0.30424098996680027,0.7165811965811966,0.010447939971510152,0.013925067934643627
NN_basic,rus_m1_df,0.2996282326482314,0.7488888888888889,0.009898188678666769,0.04613136521183809
